Coating name,Full name,mf,name,Coating Volume (nm^3)
PMAA, Polymaleticacidaliphaticalcohol,C4H6O2,polymaleticacidaliphaticalcohol,0.010282391
PMAH, Imidazole-Polymer,C3H4N2,imidazole-polymer,0.009221522
PMAL, Poly(maleic anhydride-alt-1-decene),C19H36O3N2,poly(maleic anhydride-alt-1-decene),0.046925258
PMAO, Poly(maleic anhydride-alt-1-octadecene),C22H38O3,poly(maleic anhydride-alt-1-octadecene),0.050001212
PMAS, Poly(maleicanhydride),C4H2O3?,poly(maleicanhydride),0.010638136
PMAT, Poly(maleic anhydride-alt-1-tetradecene),C23H44O3N2,poly(maleic anhydride-alt-1-tetradecene),0.055672608
PMB, PolymyxinB,C56H98N16O13,polymyxinb,0.155787617
PNIPAM, Poly-N-Isopropylacrylamide,C6H11NO,poly-n-isopropylacrylamide,0.015356309
POMA, Poly(o-methoxyaniline),C7H9NO,poly(o-methoxyaniline),0.016994113
POSS, Polyhedral oligomeric silsesquioxane,C8H24O12Si8,polyhedral oligomeric silsesquioxane,0.061474974
PPA, Poly(phosphoramidate-dipropylamine),C6H17N2O3P,poly(phosphoramidate-dipropylamine),0.023645969
PPO, Poly(p-phenylene oxide),C8H8O,poly(p-phenylene oxide),0.017301413
PR9, Pas nona-arginine,C54H110N36O10,pas nona-arginine,0.180251
PS, Polystyrene,C8H8,polystyrene,0.016396634
PSS, Poly(styrene sulfonate),C8H7SO3,poly(styrene sulfonate),0.023962628
PVA, Polyvinyl-Alcohol,C2H4O,polyvinyl-alcohol,0.005278454
R9, Nona-arginine,C54H110N36O10,nona-arginine,0.180251
RGD, Arginylglycylaspartic acid ,C12H22N6O6,arginylglycylaspartic acid ,0.040202784
RGDS, Arginylglycylasparticserine acid ,C12H22N6O6,arginylglycylasparticserine acid ,0.040202784
SDS, Sodium dodecyl sulfate ,C12H25NaO4S,sodium dodecyl sulfate ,0.064174289
STZAc4, Glucopyranose from Streptozotocin,C6H12O6,glucopyranose from streptozotocin,0.018549697
TEG, Tetra(ethylene glycol),C8H18O5,tetra(ethylene glycol),0.02229311
TEOS, Tetra(ethylsilicate),SiC8H20O4,tetra(ethylsilicate),0.025665956
TMOS, Tetramethoxysilane,C4H12O4Si,tetramethoxysilane,0.016918606
TOP, Trioctylphosphine,C24H51P,trioctylphosphine,0.057084665
TOPO, Trioctylphosphine oxide,C24H51OP,trioctylphosphine oxide,0.057989444
TPGS, Tocopheryl-poly(ethylene glycol)-succinate,C35H58O6,tocopheryl-poly(ethylene glycol)-succinate,0.080320886
Trp, Tryptophan,C11H12N2O2,tryptophan,0.027427713
TSA, Trichostatin A,C17H22N2O3,trichostatin a,0.041179001
VB, Verbascoside,C29H36O15,verbascoside,0.073970286
TGA,Thioglycolic Acid,C2H4O2S,thioglycolic acid,0.011172149
Hexadecylamine,Hexadecylamine,C16H35N,hexadecylamine,0.036868938
Lipid,Lipid,CH3(CH2)nCOOH,lipid,0.00837007
CITR,citrate,C6H5O7-3,citrate,0.018493668
Glutamate,Polyglutamate,C5H9NO4,polyglutamate,0.015883807
GA,Galium,Ga,galium,0.015002475
Thioglycerol,Thioglycerol,C3H8O2S,thioglycerol,0.013633503
Cys,Cysteine,C3H7NO2S,cysteine,0.014964007
Oleylamine,Oleylamine,C18H37N,oleylamine,0.040968097
Polyacrylamide,Polyacrylamide,C3H5NO,polyacrylamide,0.008795796
Oleic acid,Oleylacid,C18H34O2,oleic acid,0.040898116
2-ME,Mercaptoethanol,C2H6OS,mercaptoethanol,0.010541886
Methoxy,Methoxy,CH3O,methoxy,0.003228874
TP,testosterone propionate,C22H32O3,testosterone propionate,0.049177662
TG,Thioguanine,C5H5N5S,thioguanine,0.022575628
Antioxidant,Antioxidant,C40H60N2O8,antioxidant,0.094902091
Taxol,Paclitaxel,C47H51NO14,paclitaxel,0.111013922
HYDROXYAPATITE,Hydroxyapatite,Ca5HO13P3,hydroxyapatite,0.171031588
Gu,Guanidine,CH5N3,guanidine,0.007001902
Graphene,Graphene,CH4,graphene,0.002461354
Doxorubicin,Doxorubicin,C27H29NO11,doxorubicin,0.067033485
Tf,Trifluoromethanesulfonyl,CF3SO2-,trifluoromethanesulfonyl,0.013208437
PEG2,Polyethylene Glycol,C4H10O3,polyethylene glycol,0.011736203
GlycyrrhizicAcid,GlycyrrhizicAcid,C42H62O16,glycyrrhizicacid,0.103303952
EthyleneGlycol,EthyleneGlycol,C2H6O2,ethyleneglycol,0.006457749
Gd,Gadolinium,Gd,gadolinium,0.024429024
Silica,Silica,O2Si,silica,0.023256163
SH(Sulfur Hydride),Sulfur hydride,HS,sulfur hydride,0.005126174
Biotin,biotin,C10H16N2O3S,biotin,0.03195812
Amine,Amine,C26H40N12S4,amine,0.092779498
Pluronic-F68,Pluronic-F68,C5H14O4,pluronic F68,0.015102335
Zn,,Zn,,0.010770858
Pt,,Pt,,0.011249495
Pd,,Pd,,0.010770858
Au,,Au,,0.012507661
Ag,,Ag,,0.012507661
Cu,,Cu,,0.00878453
ZnO,,ZnO,,0.013191439
TiO2,,TiO2,,0.023915668
NAC,,C5H9NO3S,,0.019967945
